filename,width,height,class,xmin,ymin,xmax,ymax
image7.png,600,344,tent,998.0,433.0,1050.0,479.0
image7.png,600,344,tent,879.0,136.0,926.0,204.0
image7.png,600,344,tent,929.0,153.0,958.0,188.0
image7.png,600,344,tent,707.0,144.0,798.0,205.0
image7.png,600,344,tent,715.0,683.0,785.0,753.0
image7.png,600,344,tent,941.0,525.0,1002.0,598.0
image7.png,600,344,tent,1094.0,486.0,1191.0,550.0
image7.png,600,344,tent,853.0,665.0,900.0,727.0
image7.png,600,344,tent,703.0,831.0,766.0,902.0
image7.png,600,344,tent,661.0,877.0,710.0,941.0
image7.png,600,344,tent,880.0,391.0,918.0,430.0
image7.png,600,344,tent,928.0,239.0,996.0,298.0
image7.png,600,344,tent,1043.0,334.0,1105.0,378.0
image7.png,600,344,tent,1373.0,222.0,1447.0,295.0
image7.png,600,344,tent,1537.0,493.0,1592.0,533.0
image7.png,600,344,tent,1490.0,619.0,1582.0,695.0
image7.png,600,344,tent,1346.0,582.0,1405.0,639.0
image7.png,600,344,tent,1230.0,480.0,1265.0,526.0
image7.png,600,344,tent,1323.0,710.0,1355.0,735.0
image7.png,600,344,tent,789.0,579.0,853.0,617.0
image7.png,600,344,tent,1072.0,713.0,1117.0,764.0
image7.png,600,344,not_tent,819.0,845.0,866.0,911.0
image7.png,600,344,not_tent,1060.0,835.0,1324.0,940.0
image7.png,600,344,not_tent,1865.0,621.0,1905.0,710.0
image7.png,600,344,not_tent,1982.0,211.0,2358.0,475.0
image7.png,600,344,not_tent,1992.0,1.0,2088.0,140.0
image7.png,600,344,not_tent,507.0,22.0,538.0,82.0
image7.png,600,344,not_tent,522.0,151.0,551.0,201.0
image7.png,600,344,not_tent,172.0,97.0,377.0,214.0
image7.png,600,344,not_tent,76.0,310.0,254.0,468.0
image7.png,600,344,not_tent,392.0,384.0,475.0,532.0
image7.png,600,344,tent,74.0,861.0,144.0,902.0
image7.png,600,344,tent,15.0,752.0,87.0,801.0
image7.png,600,344,tent,1152.0,574.0,1177.0,605.0
image7.png,600,344,not_tent,478.0,761.0,534.0,871.0
image7.png,600,344,not_tent,584.0,979.0,641.0,1032.0
image7.png,600,344,not_tent,793.0,975.0,831.0,1017.0
image7.png,600,344,not_tent,545.0,623.0,592.0,684.0
image7.png,600,344,not_tent,568.0,768.0,605.0,835.0
image7.png,600,344,not_tent,165.0,1046.0,242.0,1104.0
image7.png,600,344,not_tent,102.0,972.0,176.0,1023.0
image7.png,600,344,not_tent,79.0,814.0,142.0,860.0
image7.png,600,344,not_tent,311.0,274.0,408.0,355.0
image7.png,600,344,not_tent,285.0,356.0,346.0,442.0
image7.png,600,344,not_tent,196.0,35.0,299.0,89.0
image7.png,600,344,not_tent,474.0,101.0,517.0,166.0
image7.png,600,344,not_tent,997.0,15.0,1120.0,104.0
image7.png,600,344,not_tent,1744.0,178.0,1821.0,249.0
image7.png,600,344,not_tent,1793.0,902.0,1882.0,961.0
image7.png,600,344,not_tent,1736.0,978.0,1795.0,1022.0
image7.png,600,344,not_tent,1922.0,1157.0,1967.0,1204.0
image7.png,600,344,not_tent,2250.0,939.0,2312.0,1020.0
image7.png,600,344,not_tent,2199.0,765.0,2312.0,901.0
image5.png,600,493,tent,856.0,180.0,926.0,218.0
image5.png,600,493,tent,797.0,220.0,844.0,260.0
image5.png,600,493,tent,1063.0,253.0,1125.0,327.0
image5.png,600,493,tent,1119.0,245.0,1162.0,335.0
image5.png,600,493,tent,1165.0,238.0,1207.0,293.0
image5.png,600,493,tent,1159.0,290.0,1213.0,337.0
image5.png,600,493,tent,1286.0,337.0,1364.0,419.0
image5.png,600,493,tent,1223.0,354.0,1291.0,411.0
image5.png,600,493,tent,1208.0,408.0,1274.0,457.0
image5.png,600,493,tent,1237.0,465.0,1305.0,581.0
image5.png,600,493,tent,1135.0,358.0,1210.0,457.0
image5.png,600,493,tent,903.0,244.0,956.0,312.0
image5.png,600,493,tent,845.0,223.0,915.0,269.0
image5.png,600,493,tent,808.0,283.0,899.0,325.0
image5.png,600,493,tent,754.0,283.0,818.0,343.0
image5.png,600,493,tent,746.0,372.0,808.0,424.0
image5.png,600,493,tent,850.0,354.0,921.0,399.0
image5.png,600,493,tent,714.0,436.0,772.0,489.0
image5.png,600,493,tent,942.0,158.0,986.0,201.0
image5.png,600,493,not_tent,1297.0,472.0,1357.0,505.0
image5.png,600,493,not_tent,1819.0,365.0,2010.0,509.0
image5.png,600,493,not_tent,1845.0,573.0,1904.0,631.0
image5.png,600,493,not_tent,2051.0,602.0,2140.0,679.0
image5.png,600,493,not_tent,2236.0,534.0,2350.0,604.0
image5.png,600,493,not_tent,2111.0,424.0,2206.0,491.0
image5.png,600,493,not_tent,2071.0,730.0,2199.0,842.0
image5.png,600,493,not_tent,2030.0,922.0,2113.0,1000.0
image5.png,600,493,not_tent,2127.0,1029.0,2216.0,1114.0
image5.png,600,493,not_tent,1614.0,763.0,1736.0,875.0
image5.png,600,493,not_tent,1423.0,884.0,1571.0,993.0
image5.png,600,493,not_tent,1240.0,1083.0,1349.0,1204.0
image5.png,600,493,not_tent,1034.0,894.0,1199.0,1035.0
image5.png,600,493,not_tent,524.0,660.0,640.0,746.0
image5.png,600,493,not_tent,265.0,939.0,398.0,1072.0
image5.png,600,493,not_tent,630.0,1095.0,782.0,1235.0
image5.png,600,493,not_tent,502.0,146.0,624.0,252.0
image5.png,600,493,not_tent,379.0,263.0,506.0,343.0
image5.png,600,493,not_tent,503.0,246.0,632.0,386.0
image5.png,600,493,not_tent,16.0,104.0,102.0,168.0
image5.png,600,493,not_tent,22.0,392.0,131.0,515.0
image5.png,600,493,not_tent,923.0,491.0,1005.0,584.0
image1.png,600,344,tent,459.0,793.0,491.0,827.0
image1.png,600,344,tent,158.0,221.0,190.0,250.0
image1.png,600,344,tent,413.0,732.0,441.0,758.0
image1.png,600,344,tent,676.0,527.0,699.0,554.0
image1.png,600,344,tent,765.0,517.0,790.0,540.0
image1.png,600,344,tent,672.0,363.0,702.0,418.0
image1.png,600,344,tent,277.0,375.0,321.0,407.0
image1.png,600,344,tent,174.0,399.0,201.0,448.0
image1.png,600,344,tent,209.0,376.0,232.0,442.0
image1.png,600,344,tent,838.0,262.0,854.0,290.0
image1.png,600,344,tent,767.0,845.0,794.0,876.0
image1.png,600,344,tent,322.0,884.0,339.0,898.0
image1.png,600,344,tent,276.0,879.0,294.0,906.0
image1.png,600,344,tent,869.0,606.0,898.0,658.0
image1.png,600,344,tent,245.0,521.0,268.0,550.0
image1.png,600,344,tent,210.0,586.0,234.0,614.0
image1.png,600,344,tent,211.0,692.0,240.0,720.0
image1.png,600,344,tent,232.0,804.0,259.0,825.0
image1.png,600,344,tent,74.0,769.0,91.0,798.0
image1.png,600,344,tent,157.0,777.0,187.0,805.0
image1.png,600,344,tent,79.0,239.0,101.0,261.0
image1.png,600,344,tent,139.0,371.0,156.0,397.0
image1.png,600,344,tent,113.0,396.0,138.0,417.0
image1.png,600,344,tent,110.0,489.0,136.0,512.0
image1.png,600,344,tent,141.0,486.0,160.0,508.0
image1.png,600,344,tent,172.0,482.0,202.0,505.0
image1.png,600,344,tent,300.0,456.0,322.0,483.0
image1.png,600,344,tent,271.0,451.0,295.0,479.0
image1.png,600,344,tent,204.0,80.0,226.0,106.0
image1.png,600,344,tent,168.0,154.0,190.0,185.0
image1.png,600,344,tent,121.0,140.0,142.0,168.0
image1.png,600,344,tent,124.0,178.0,149.0,202.0
image1.png,600,344,tent,147.0,117.0,172.0,155.0
image1.png,600,344,tent,104.0,280.0,130.0,310.0
image1.png,600,344,tent,163.0,285.0,199.0,323.0
image1.png,600,344,tent,625.0,321.0,666.0,359.0
image1.png,600,344,tent,736.0,291.0,767.0,334.0
image1.png,600,344,tent,635.0,581.0,693.0,627.0
image1.png,600,344,tent,731.0,838.0,759.0,875.0
